epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,8.23842,0.54284,6.72196,0.00576,0.2635,0.38913,0.23093,0.2096,0.22848,4.94944,0.0033,0.00095019,0.00031673,0.00095019,0.00031673,0.00095019,0.00031673,0.00095019,0.00031673
2,10.4933,0.39241,3.54728,0.00398,0.66793,0.75212,0.78989,0.77958,0.20387,2.12352,0.00286,0.00191177,0.000637257,0.00191177,0.000637257,0.00191177,0.000637257,0.00191177,0.000637257
3,12.7211,0.33144,1.62455,0.00359,0.89837,0.89576,0.95868,0.94902,0.16233,0.60122,0.00225,0.00283375,0.000944582,0.00283375,0.000944582,0.00283375,0.000944582,0.00283375,0.000944582
4,14.7663,0.33176,0.93411,0.0034,0.91757,0.94443,0.97718,0.96706,0.20616,0.35753,0.00297,0.00371611,0.0012387,0.00371611,0.0012387,0.00371611,0.0012387,0.00371611,0.0012387
5,16.8166,0.33011,0.65114,0.00328,0.94625,0.91162,0.97832,0.97438,0.16517,0.28238,0.00227,0.00455887,0.00151962,0.00455887,0.00151962,0.00455887,0.00151962,0.00455887,0.00151962
6,18.7832,0.34057,0.48994,0.00351,0.9745,0.94077,0.98533,0.97938,0.20404,0.22734,0.00263,0.0045059,0.00150197,0.0045059,0.00150197,0.0045059,0.00150197,0.0045059,0.00150197
7,20.7353,0.32729,0.41827,0.00329,0.96722,0.97046,0.98844,0.98449,0.15497,0.20434,0.0021,0.00440688,0.00146896,0.00440688,0.00146896,0.00440688,0.00146896,0.00440688,0.00146896
8,22.7149,0.29827,0.37179,0.00303,0.96563,0.95754,0.99082,0.98464,0.16974,0.16497,0.00229,0.00430786,0.00143595,0.00430786,0.00143595,0.00430786,0.00143595,0.00430786,0.00143595
9,24.6793,0.29219,0.33463,0.00299,0.9598,0.97205,0.99071,0.98297,0.20464,0.17798,0.00289,0.00420884,0.00140295,0.00420884,0.00140295,0.00420884,0.00140295,0.00420884,0.00140295
10,26.6136,0.31777,0.32246,0.00336,0.95639,0.97205,0.98847,0.98732,0.1557,0.16749,0.00198,0.00410982,0.00136994,0.00410982,0.00136994,0.00410982,0.00136994,0.00410982,0.00136994
11,28.5663,0.31272,0.29865,0.00311,0.99124,0.93833,0.99019,0.98453,0.18612,0.17245,0.00262,0.0040108,0.00133693,0.0040108,0.00133693,0.0040108,0.00133693,0.0040108,0.00133693
12,30.5146,0.29233,0.28854,0.00287,0.97869,0.98893,0.99297,0.98859,0.1828,0.1369,0.00252,0.00391178,0.00130393,0.00391178,0.00130393,0.00391178,0.00130393,0.00391178,0.00130393
13,32.4764,0.31065,0.30758,0.00323,0.93048,0.97328,0.98817,0.98385,0.17154,0.1742,0.0024,0.00381276,0.00127092,0.00381276,0.00127092,0.00381276,0.00127092,0.00381276,0.00127092
14,34.3967,0.28458,0.26619,0.00294,1,0.93974,0.99056,0.98647,0.16421,0.14087,0.00208,0.00371374,0.00123791,0.00371374,0.00123791,0.00371374,0.00123791,0.00371374,0.00123791
15,36.3112,0.2747,0.24505,0.00268,0.92922,0.98331,0.99086,0.98846,0.16533,0.13903,0.00216,0.00361472,0.00120491,0.00361472,0.00120491,0.00361472,0.00120491,0.00361472,0.00120491
16,38.2489,0.26193,0.25109,0.00265,0.98377,0.95745,0.99153,0.98921,0.17271,0.12503,0.00231,0.0035157,0.0011719,0.0035157,0.0011719,0.0035157,0.0011719,0.0035157,0.0011719
17,40.2337,0.28171,0.25036,0.00291,0.97363,0.98071,0.99183,0.98988,0.15066,0.11866,0.00194,0.00341668,0.00113889,0.00341668,0.00113889,0.00341668,0.00113889,0.00341668,0.00113889
18,42.1898,0.29878,0.24823,0.00305,0.99202,0.9505,0.98994,0.98824,0.18013,0.1433,0.00252,0.00331766,0.00110589,0.00331766,0.00110589,0.00331766,0.00110589,0.00331766,0.00110589
19,44.1163,0.26726,0.22828,0.00264,0.98742,0.97677,0.99103,0.99063,0.14073,0.11555,0.00196,0.00321864,0.00107288,0.00321864,0.00107288,0.00321864,0.00107288,0.00321864,0.00107288
20,46.0947,0.27083,0.21485,0.00264,0.98875,0.95857,0.98851,0.98851,0.13936,0.16108,0.00186,0.00311962,0.00103987,0.00311962,0.00103987,0.00311962,0.00103987,0.00311962,0.00103987
21,48.0316,0.26064,0.22136,0.0026,0.93439,0.98329,0.98693,0.98674,0.15502,0.16788,0.00215,0.0030206,0.00100687,0.0030206,0.00100687,0.0030206,0.00100687,0.0030206,0.00100687
22,49.9817,0.25359,0.20752,0.00255,0.98141,0.94994,0.98887,0.98854,0.14175,0.14103,0.00185,0.00292158,0.000973861,0.00292158,0.000973861,0.00292158,0.000973861,0.00292158,0.000973861
23,51.9213,0.24221,0.20083,0.00241,0.98813,0.97067,0.99101,0.99061,0.14728,0.11324,0.00198,0.00282256,0.000940855,0.00282256,0.000940855,0.00282256,0.000940855,0.00282256,0.000940855
24,53.8578,0.25401,0.21046,0.00252,0.98231,0.98114,0.99056,0.99018,0.14397,0.11605,0.00186,0.00272354,0.000907848,0.00272354,0.000907848,0.00272354,0.000907848,0.00272354,0.000907848
25,55.796,0.24851,0.19627,0.00262,0.98936,0.99194,0.9924,0.99096,0.15154,0.09541,0.00211,0.00262452,0.000874842,0.00262452,0.000874842,0.00262452,0.000874842,0.00262452,0.000874842
26,57.7667,0.26023,0.20944,0.00259,0.98191,0.98534,0.9912,0.99006,0.15197,0.10682,0.00204,0.0025255,0.000841835,0.0025255,0.000841835,0.0025255,0.000841835,0.0025255,0.000841835
27,59.691,0.26528,0.20626,0.00268,0.9958,0.99194,0.9918,0.9918,0.14766,0.10054,0.00198,0.00242649,0.000808828,0.00242649,0.000808828,0.00242649,0.000808828,0.00242649,0.000808828
28,61.6555,0.23896,0.19769,0.00244,0.99455,0.98233,0.99178,0.99178,0.13208,0.10132,0.00178,0.00232747,0.000775822,0.00232747,0.000775822,0.00232747,0.000775822,0.00232747,0.000775822
29,63.5861,0.24599,0.18113,0.00256,0.97289,0.98133,0.99057,0.98977,0.14859,0.12508,0.00202,0.00222845,0.000742815,0.00222845,0.000742815,0.00222845,0.000742815,0.00222845,0.000742815
30,65.5222,0.23412,0.20234,0.00238,0.97492,0.98331,0.99091,0.99091,0.16378,0.1218,0.00213,0.00212943,0.000709809,0.00212943,0.000709809,0.00212943,0.000709809,0.00212943,0.000709809
31,67.4366,0.238,0.18592,0.00244,0.99002,0.96482,0.9903,0.98931,0.13816,0.12132,0.00183,0.00203041,0.000676802,0.00203041,0.000676802,0.00203041,0.000676802,0.00203041,0.000676802
32,69.3604,0.23211,0.16787,0.00237,0.99054,0.98882,0.9913,0.9913,0.13277,0.09863,0.00178,0.00193139,0.000643795,0.00193139,0.000643795,0.00193139,0.000643795,0.00193139,0.000643795
33,71.2963,0.2332,0.17411,0.00236,0.98049,0.98646,0.99344,0.9922,0.1393,0.0986,0.00183,0.00183237,0.000610789,0.00183237,0.000610789,0.00183237,0.000610789,0.00183237,0.000610789
34,73.2446,0.24695,0.18532,0.00261,0.98158,0.98078,0.99362,0.99246,0.14241,0.10379,0.00197,0.00173335,0.000577782,0.00173335,0.000577782,0.00173335,0.000577782,0.00173335,0.000577782
35,75.1996,0.23606,0.18271,0.00233,0.97507,0.9912,0.9936,0.99307,0.14163,0.09858,0.00183,0.00163433,0.000544776,0.00163433,0.000544776,0.00163433,0.000544776,0.00163433,0.000544776
36,77.1647,0.23238,0.17444,0.00221,0.97772,0.99005,0.99343,0.99235,0.15181,0.09976,0.00199,0.00153531,0.000511769,0.00153531,0.000511769,0.00153531,0.000511769,0.00153531,0.000511769
37,79.0806,0.2217,0.15975,0.00223,0.98416,0.97401,0.99331,0.99233,0.14102,0.10727,0.00186,0.00143629,0.000478762,0.00143629,0.000478762,0.00143629,0.000478762,0.00143629,0.000478762
38,81.0142,0.22982,0.17005,0.0023,0.99263,0.99194,0.99341,0.99227,0.12822,0.08691,0.00167,0.00133727,0.000445756,0.00133727,0.000445756,0.00133727,0.000445756,0.00133727,0.000445756
39,82.9499,0.21328,0.1523,0.00225,0.99381,0.97407,0.99252,0.99187,0.13344,0.09424,0.00168,0.00123825,0.000412749,0.00123825,0.000412749,0.00123825,0.000412749,0.00123825,0.000412749
40,84.8924,0.22757,0.16147,0.00237,0.99135,0.99026,0.99167,0.99134,0.12834,0.08737,0.00165,0.00113923,0.000379743,0.00113923,0.000379743,0.00113923,0.000379743,0.00113923,0.000379743
41,87.2874,0.14806,0.12151,0.00195,0.99615,0.98265,0.99329,0.99268,0.12913,0.08645,0.00169,0.00104021,0.000346736,0.00104021,0.000346736,0.00104021,0.000346736,0.00104021,0.000346736
42,89.2127,0.15281,0.10845,0.00183,0.99224,0.98387,0.99321,0.99257,0.1315,0.09338,0.00174,0.000941188,0.000313729,0.000941188,0.000313729,0.000941188,0.000313729,0.000941188,0.000313729
43,91.1119,0.14396,0.12247,0.00169,0.98865,0.98015,0.99328,0.99292,0.12042,0.10027,0.00156,0.000842168,0.000280723,0.000842168,0.000280723,0.000842168,0.000280723,0.000842168,0.000280723
44,93.0337,0.14944,0.12148,0.00183,0.98759,0.98331,0.99319,0.99283,0.11499,0.09637,0.00148,0.000743149,0.000247716,0.000743149,0.000247716,0.000743149,0.000247716,0.000743149,0.000247716
45,94.9631,0.14431,0.11166,0.00184,0.98601,0.99043,0.99363,0.99326,0.11469,0.08266,0.00151,0.000644129,0.00021471,0.000644129,0.00021471,0.000644129,0.00021471,0.000644129,0.00021471
46,96.926,0.15152,0.1156,0.00197,0.98614,0.98128,0.99346,0.99293,0.12091,0.09378,0.00153,0.000545109,0.000181703,0.000545109,0.000181703,0.000545109,0.000181703,0.000545109,0.000181703
47,98.8469,0.14328,0.11691,0.00178,0.99832,0.97931,0.99371,0.99316,0.10662,0.07923,0.00139,0.000446089,0.000148696,0.000446089,0.000148696,0.000446089,0.000148696,0.000446089,0.000148696
48,100.764,0.13852,0.10421,0.00187,0.98313,0.97315,0.99319,0.99267,0.10897,0.08864,0.00143,0.000347069,0.00011569,0.000347069,0.00011569,0.000347069,0.00011569,0.000347069,0.00011569
49,102.673,0.13946,0.10991,0.00171,0.99158,0.97906,0.99358,0.99305,0.11187,0.08644,0.00149,0.00024805,8.26832e-05,0.00024805,8.26832e-05,0.00024805,8.26832e-05,0.00024805,8.26832e-05
50,104.594,0.13223,0.10427,0.00159,0.98841,0.97838,0.99347,0.99293,0.11157,0.08725,0.00144,0.00014903,4.96766e-05,0.00014903,4.96766e-05,0.00014903,4.96766e-05,0.00014903,4.96766e-05
