epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,11.7012,0.5045,6.63033,0.00538,0.33428,0.45084,0.34221,0.3269,0.21904,4.39355,0.00316,0.0010002,0.0003334,0.0010002,0.0003334,0.0010002,0.0003334,0.0010002,0.0003334
2,14.053,0.37966,3.30306,0.00404,0.70607,0.78596,0.79355,0.79053,0.18291,1.45426,0.00257,0.00200981,0.000669937,0.00200981,0.000669937,0.00200981,0.000669937,0.00200981,0.000669937
3,16.3399,0.32128,1.49802,0.0033,0.91585,0.83315,0.95369,0.94971,0.17991,0.4636,0.00243,0.00297784,0.000992612,0.00297784,0.000992612,0.00297784,0.000992612,0.00297784,0.000992612
4,18.6023,0.31814,0.79275,0.0034,0.92819,0.90993,0.97735,0.97004,0.18007,0.26539,0.00253,0.00390427,0.00130142,0.00390427,0.00130142,0.00390427,0.00130142,0.00390427,0.00130142
5,20.6323,0.30754,0.53354,0.00299,0.92678,0.95429,0.98489,0.97121,0.22466,0.20159,0.00324,0.00460492,0.00153497,0.00460492,0.00153497,0.00460492,0.00153497,0.00460492,0.00153497
6,22.6591,0.33626,0.47223,0.00345,0.9559,0.92876,0.9862,0.97957,0.17478,0.2177,0.00239,0.0045059,0.00150197,0.0045059,0.00150197,0.0045059,0.00150197,0.0045059,0.00150197
7,24.6709,0.31133,0.37154,0.00318,0.95288,0.97737,0.98803,0.97661,0.20768,0.22008,0.00288,0.00440688,0.00146896,0.00440688,0.00146896,0.00440688,0.00146896,0.00440688,0.00146896
8,26.7264,0.31297,0.35902,0.00304,0.9639,0.97263,0.99046,0.983,0.16492,0.17755,0.00218,0.00430786,0.00143595,0.00430786,0.00143595,0.00430786,0.00143595,0.00430786,0.00143595
9,28.8032,0.29957,0.31136,0.00313,0.97061,0.92829,0.98502,0.97819,0.18387,0.20664,0.00244,0.00420884,0.00140295,0.00420884,0.00140295,0.00420884,0.00140295,0.00420884,0.00140295
10,30.7692,0.29242,0.31394,0.00296,0.96338,0.97105,0.98833,0.98516,0.18823,0.17455,0.00263,0.00410982,0.00136994,0.00410982,0.00136994,0.00410982,0.00136994,0.00410982,0.00136994
